grouping,total_hh_income_2018,total_cocoa_income_2018,benchmark,food_value,below_benchmark,fgt_gap,total_hh_income_2018_including_food_value,below_benchmark_with_food,fgt_gap_with_food
Female-headed,3378.667,1858.267,4001,450,1,0.155544364,3828.667,1,0.043072482
Female-headed,2104.649,1788.952,4001,450,1,0.473969258,2554.649,1,0.361497376
Female-headed,710.0922,426.0553,4001,450,1,0.82252132,1160.0922,1,0.710049438
Female-headed,5269.005,2107.602,4001,450,0,0,5719.005,0,0
Female-headed,1278.996,959.2473,4001,450,1,0.680330917,1728.996,1,0.567859035
Female-headed,7139.951,4997.966,4001,450,0,0,7589.951,0,0
Female-headed,695.4694,417.2817,4001,450,1,0.826176106,1145.4694,1,0.713704224
Female-headed,857.2384,600.0668,4001,450,1,0.785743964,1307.2384,1,0.673272082
Female-headed,1149.697,804.788,4001,450,1,0.712647588,1599.697,1,0.600175706
Female-headed,2022.366,1011.183,4001,450,1,0.494534866,2472.366,1,0.382062984
Female-headed,2356.714,1885.372,4001,450,1,0.410968758,2806.714,1,0.298496876
Female-headed,4690.483,3283.338,4001,450,0,0,5140.483,0,0
Female-headed,2022.128,1213.277,4001,450,1,0.494594351,2472.128,1,0.382122469
Female-headed,1726.482,1208.537,4001,450,1,0.568487378,2176.482,1,0.456015496
Female-headed,426.1386,255.6832,4001,450,1,0.893491977,876.1386,1,0.781020095
Female-headed,106.8051,74.76354,4001,450,1,0.973305399,556.8051,1,0.860833517
Female-headed,246.197,160.028,4001,450,1,0.938466133,696.197,1,0.825994251
Female-headed,1156.81,809.767,4001,450,1,0.710869783,1606.81,1,0.598397901
Female-headed,559.4716,447.5773,4001,450,1,0.860167058,1009.4716,1,0.747695176
Female-headed,1961.127,1372.789,4001,450,1,0.50984079,2411.127,1,0.397368908
Female-headed,537.6262,322.5757,4001,450,1,0.865627043,987.6262,1,0.753155161
Female-headed,488.5126,390.8101,4001,450,1,0.877902374,938.5126,1,0.765430492
Female-headed,385.4615,212.0038,4001,450,1,0.90365871,835.4615,1,0.791186828
Female-headed,2023.048,1213.829,4001,450,1,0.494364409,2473.048,1,0.381892527
Female-headed,2401.704,1561.108,4001,450,1,0.399724069,2851.704,1,0.287252187
Female-headed,615.887,307.9435,4001,450,1,0.846066733,1065.887,1,0.733594851
Female-headed,3995.019,2197.261,4001,450,1,0.001494876,4445.019,0,0
Female-headed,2224.243,1112.121,4001,450,1,0.44407823,2674.243,1,0.331606348
Female-headed,702.1707,631.9536,4001,450,1,0.8245012,1152.1707,1,0.712029318
Female-headed,2632.437,1052.975,4001,450,1,0.342055236,3082.437,1,0.229583354
Female-headed,6253.945,4377.762,4001,450,0,0,6703.945,0,0
Female-headed,1429.699,929.3044,4001,450,1,0.642664584,1879.699,1,0.530192702
Female-headed,2101.146,1260.688,4001,450,1,0.474844789,2551.146,1,0.362372907
Female-headed,5219.355,2870.646,4001,450,0,0,5669.355,0,0
Female-headed,284.3234,199.0264,4001,450,1,0.928936916,734.3234,1,0.816465034
Female-headed,3976.711,3579.04,4001,450,1,0.006070732,4426.711,0,0
Female-headed,1613.194,1613.194,4001,450,1,0.596802299,2063.194,1,0.484330417
Female-headed,6867.7,5150.774,4001,450,0,0,7317.7,0,0
Female-headed,1797.654,1438.123,4001,450,1,0.550698825,2247.654,1,0.438226943
Female-headed,677.1996,406.3198,4001,450,1,0.830742414,1127.1996,1,0.718270532
Female-headed,1900.582,1520.465,4001,450,1,0.524973257,2350.582,1,0.412501375
Female-headed,24.58819,17.21173,4001,450,1,0.993854489,474.58819,1,0.881382607
Female-headed,304.7754,213.3428,4001,450,1,0.923825194,754.7754,1,0.811353312
Female-headed,1707.34,1536.606,4001,450,1,0.573271682,2157.34,1,0.4607998
Female-headed,1234.944,864.4611,4001,450,1,0.691341165,1684.944,1,0.578869283
Female-headed,1894.735,1136.841,4001,450,1,0.526434641,2344.735,1,0.413962759
Female-headed,741.1375,667.0237,4001,450,1,0.814761935,1191.1375,1,0.702290052
Female-headed,1007.221,705.0548,4001,450,1,0.748257686,1457.221,1,0.635785804
Female-headed,928.9755,882.5267,4001,450,1,0.767814171,1378.9755,1,0.655342289
